127.0.0.1 - - [07/Jun/2013:11:05:39 +0200] "GET / HTTP/1.1" 404 962
127.0.0.1 - - [07/Jun/2013:11:05:41 +0200] "GET /Formations/accueil HTTP/1.1" 200 2883
127.0.0.1 - - [07/Jun/2013:11:05:41 +0200] "GET /Formations/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
127.0.0.1 - - [07/Jun/2013:11:05:41 +0200] "GET /Formations/css/formationscss.css HTTP/1.1" 200 1058
127.0.0.1 - - [07/Jun/2013:11:05:41 +0200] "GET /Formations/js/bootstrap.min.js HTTP/1.1" 200 31596
127.0.0.1 - - [07/Jun/2013:11:05:41 +0200] "GET /Formations/css/bootstrap.min.css HTTP/1.1" 200 126461
127.0.0.1 - - [07/Jun/2013:11:05:41 +0200] "GET /Formations/img/glyphicons-halflings.png HTTP/1.1" 200 12799
127.0.0.1 - - [07/Jun/2013:11:05:41 +0200] "GET /Formations/img/banniere16.jpg HTTP/1.1" 200 189297
127.0.0.1 - - [07/Jun/2013:11:05:41 +0200] "GET /Formations/img/logo/logof3.jpg HTTP/1.1" 200 2254
127.0.0.1 - - [07/Jun/2013:11:07:00 +0200] "GET /Formations/formations HTTP/1.1" 200 14719
127.0.0.1 - - [07/Jun/2013:11:07:00 +0200] "GET /Formations/js/formations.js HTTP/1.1" 200 1798
127.0.0.1 - - [07/Jun/2013:11:07:00 +0200] "GET /Formations/css/smoothness/jquery-ui-1.10.2.custom.css HTTP/1.1" 200 21718
127.0.0.1 - - [07/Jun/2013:11:07:00 +0200] "GET /Formations/js/jquery-ui-1.10.2.custom.js HTTP/1.1" 200 119562
127.0.0.1 - - [07/Jun/2013:11:07:01 +0200] "GET /Formations/css/smoothness/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 200 208
127.0.0.1 - - [07/Jun/2013:11:09:46 +0200] "GET /Formations/formations HTTP/1.1" 200 14719
127.0.0.1 - - [07/Jun/2013:11:09:46 +0200] "GET /Formations/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:09:46 +0200] "GET /Formations/css/formationscss.css HTTP/1.1" 200 933
127.0.0.1 - - [07/Jun/2013:11:09:46 +0200] "GET /Formations/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:09:46 +0200] "GET /Formations/css/smoothness/jquery-ui-1.10.2.custom.css HTTP/1.1" 304 -
